lat,temp,humidity,cloudiness,wind
63.75,5.0,77,75,2.82
39.55,52.36,37,1,6.93
41.53,42.8,56,1,28.86
40.43,45.91,70,40,4.7
30.48,63.39,69,12,9.42
55.74,23.0,57,75,4.7
4.14,82.45,79,100,7.29
59.7,38.19,86,90,13.42
5.77,82.98,71,11,7.34
24.69,60.8,36,0,3.36
40.92,49.3,81,40,5.82
5.41,81.28,88,20,2.24
56.45,-4.05,94,78,2.51
52.13,35.69,97,100,9.95
70.63,-12.89,80,0,2.98
55.76,35.4,91,18,3.36
16.02,74.37,80,0,4.16
25.05,71.82,57,67,6.06
38.52,57.2,62,20,5.82
30.33,55.38,35,1,10.94
62.46,-4.0,64,75,12.75
35.08,34.52,67,0,5.77
71.04,20.82,67,93,8.05
19.73,73.72,74,75,11.41
41.18,53.42,62,100,5.82
27.18,66.09,15,0,6.89
70.47,-14.8,83,75,16.11
62.08,30.29,93,100,14.32
4.38,80.35,89,100,3.15
17.49,66.2,39,21,4.7
16.91,71.6,94,49,3.36
22.69,66.52,44,0,13.33
42.7,43.39,45,90,11.41
78.22,17.6,78,75,5.82
65.61,26.6,79,98,9.17
42.6,43.47,64,90,10.29
63.84,29.46,92,75,9.17
69.7,-2.29,68,71,9.82
72.79,-13.11,72,95,5.7
38.23,42.8,75,75,8.05
29.95,69.69,83,90,11.41
22.29,61.9,88,40,9.17
60.14,20.14,56,0,12.77
42.8,38.1,41,99,8.03
2.67,82.35,74,17,11.88
4.87,80.49,87,84,2.26
20.15,70.07,82,0,7.05
58.42,21.87,94,100,11.45
45.02,40.14,44,40,9.17
42.1,33.89,97,90,14.99
35.53,59.25,12,1,8.05
37.35,56.48,18,1,12.75
38.89,62.02,31,1,10.29
55.34,34.66,100,90,23.04
32.67,61.03,72,40,8.05
36.06,36.75,96,100,5.88
3.07,83.01,79,100,16.15
34.67,47.21,80,100,1.01
37.72,57.2,62,20,5.82
43.04,30.2,86,0,2.24
36.07,35.6,80,0,6.93
22.57,67.44,60,0,5.84
41.72,57.27,100,75,12.75
50.2,30.4,86,90,16.11
12.06,82.4,69,20,20.8
36.28,37.0,44,0,4.88
29.58,71.22,38,0,2.66
66.56,1.42,83,91,12.59
48.92,44.73,93,90,6.93
59.97,18.75,93,68,7.47
14.4,67.73,68,17,4.88
22.08,78.13,74,20,10.29
43.23,42.8,81,75,4.7
41.85,49.96,93,40,2.24
62.54,-0.4,91,100,4.47
50.7,44.6,70,90,9.17
35.6,30.97,38,20,9.19
71.69,1.62,82,100,17.69
66.03,8.92,91,97,11.48
40.6,55.99,81,20,10.29
52.63,46.17,92,100,10.04
58.34,25.5,91,90,8.5
8.88,84.2,70,75,4.7
60.92,8.6,46,0,3.36
5.97,78.13,90,100,2.95
57.05,35.6,74,75,13.87
42.54,56.28,22,1,14.99
77.48,-16.69,99,100,2.35
0.8,75.0,93,100,1.9
10.57,81.81,75,2,14.88
36.42,36.95,65,0,2.86
73.51,-12.14,97,100,14.97
47.77,20.66,86,100,21.63
43.75,34.75,85,92,3.0
10.93,68.27,89,68,3.74
54.32,39.2,77,75,18.34
67.47,8.47,95,99,6.93
2.77,76.06,54,99,6.29
20.45,74.61,85,83,20.89
32.32,39.99,72,0,7.14
31.61,56.91,82,0,3.36
23.83,64.85,29,0,1.81
17.02,82.4,15,4,8.05
66.77,1.67,94,100,13.56
49.49,6.04,85,100,4.09
68.75,1.29,73,46,14.79
50.59,8.42,90,100,2.19
50.28,42.69,90,68,8.88
69.45,-25.6,74,75,10.29
65.98,7.65,94,90,12.82
12.35,76.08,10,0,9.6
61.99,9.7,55,0,3.31
46.62,25.48,85,90,4.7
51.18,36.32,31,1,23.04
41.37,51.98,39,20,17.22
54.72,0.75,96,99,1.36
20.89,78.76,58,40,3.36
71.29,-32.8,93,1,5.82
63.73,32.0,80,40,11.41
49.76,2.82,97,0,2.15
55.17,-0.8,97,100,1.88
33.88,35.69,70,0,7.83
53.4,28.45,56,100,15.48
14.25,83.84,8,0,9.24
29.56,68.0,52,0,0.83
67.45,-5.37,78,80,5.19
56.34,42.94,93,100,10.36
71.92,-2.15,97,89,2.82
39.76,59.41,6,1,14.99
64.38,8.6,65,0,4.47
22.93,60.26,41,0,2.42
55.28,29.75,97,100,7.07
19.77,83.57,74,20,17.22
18.43,80.42,74,40,13.87
9.18,72.81,95,28,3.22
57.79,17.6,48,40,21.92
37.42,45.82,56,100,9.91
52.52,1.67,97,60,3.96
53.75,1.56,97,100,7.67
39.85,54.99,87,48,4.7
7.13,76.98,87,85,2.66
42.78,34.12,48,0,6.44
22.89,70.3,43,40,11.41
45.87,44.01,86,82,3.0
31.4,60.3,74,56,12.33
68.0,9.19,75,0,7.47
8.12,96.69,24,77,13.0
55.93,0.09,68,70,1.52
19.21,82.4,78,20,6.93
44.13,48.9,87,90,3.36
41.25,48.04,59,67,5.75
53.07,17.65,91,100,13.22
71.97,-6.79,100,95,6.85
48.6,33.19,50,1,4.7
20.2,78.76,11,0,10.27
23.45,49.64,80,65,4.45
26.89,44.1,72,0,5.53
62.53,-10.97,99,87,10.25
19.75,71.8,8,0,5.17
28.37,56.93,76,75,12.75
7.04,78.8,94,90,10.29
53.88,39.88,93,100,8.9
12.07,85.05,12,36,7.18
50.23,32.0,97,90,23.04
42.25,41.29,69,90,12.75
10.61,86.85,13,2,15.75
21.28,86.61,56,0,14.16
11.47,74.53,77,0,3.4
66.0,1.4,84,99,6.71
32.83,39.31,68,65,10.51
66.94,-3.24,44,61,3.74
5.89,81.79,75,100,7.61
42.54,56.28,22,1,14.99
42.78,34.12,48,0,6.44
54.77,24.8,73,90,6.93
26.12,59.0,93,75,26.4
5.79,84.2,79,20,9.17
20.66,80.08,71,43,3.06
22.76,51.51,98,100,1.52
64.92,7.0,87,92,5.1
25.67,65.73,55,0,5.84
67.67,10.0,87,0,10.94
3.17,77.31,89,36,4.32
46.87,51.87,93,90,6.93
32.35,57.4,93,90,5.82
65.7,1.36,97,53,9.51
5.38,79.56,74,35,13.47
50.72,12.78,90,93,4.23
6.2,67.77,63,44,3.4
30.44,68.68,100,90,4.7
8.57,69.64,92,100,2.24
50.43,37.44,93,40,1.12
58.85,11.21,96,0,4.99
49.0,30.2,86,90,9.17
13.05,83.1,9,0,9.1
69.49,10.4,85,40,11.18
21.46,80.6,74,40,11.41
54.05,5.67,97,100,3.89
63.05,3.02,71,0,2.64
22.38,56.86,90,95,5.06
31.77,41.25,92,100,2.51
26.73,59.88,35,0,2.75
52.71,38.35,93,100,5.82
69.65,25.97,54,100,35.57
58.66,35.35,93,40,5.82
5.56,73.31,92,40,3.51
50.68,21.22,94,100,5.55
11.28,79.81,70,0,16.51
28.68,46.0,79,100,12.77
41.12,41.81,40,0,3.36
16.35,84.2,74,0,19.46
26.0,63.14,69,0,3.6
45.63,28.96,68,0,10.42
64.25,39.31,53,100,17.2
2.79,74.88,68,0,2.8
55.49,36.72,91,100,5.73
11.78,77.0,88,20,2.24
13.17,76.24,59,10,6.8
52.7,-0.76,97,4,1.25
36.53,42.8,81,40,2.24
64.89,29.64,70,57,7.16
9.29,73.27,92,69,5.23
46.42,46.47,70,90,5.82
39.05,59.16,68,16,19.53
65.42,14.0,40,20,3.36
2.74,77.52,60,0,3.29
7.58,76.28,78,100,4.14
35.55,40.17,75,75,14.99
37.1,63.0,17,0,6.93
44.3,31.44,81,41,9.48
11.0,73.4,83,75,8.84
65.28,-14.8,68,75,12.75
40.08,59.92,9,1,8.05
13.22,82.4,61,40,20.8
42.82,50.77,71,67,11.41
61.81,6.8,92,0,2.24
18.69,73.99,8,0,6.44
44.17,41.02,49,0,7.9
20.87,82.22,71,0,8.77
8.03,81.75,48,53,2.95
53.05,8.6,71,100,11.18
40.16,59.0,93,75,6.93
63.37,6.12,97,0,2.42
36.62,69.22,27,1,3.36
29.03,63.27,30,2,4.41
64.84,-12.48,82,1,2.35
29.05,64.4,34,0,5.23
15.44,71.87,71,16,2.68
11.52,80.85,15,0,9.26
57.26,12.29,96,100,3.15
38.42,74.26,35,1,0.63
36.62,69.22,27,1,3.36
2.43,80.6,83,97,6.93
6.12,77.0,100,75,2.24
53.86,3.07,97,100,1.61
48.58,49.51,100,75,6.93
35.15,72.45,23,1,9.17
62.23,37.4,74,0,9.17
29.42,65.79,68,90,11.41
46.68,11.62,69,97,9.75
37.27,58.19,41,1,10.29
47.89,14.56,93,100,2.68
45.91,50.52,58,21,8.23
16.33,89.6,15,0,2.24
4.93,82.4,69,75,11.41
19.27,69.94,78,8,0.4
28.66,66.58,82,100,11.41
41.0,50.38,70,90,5.44
33.59,59.59,100,40,6.93
56.95,25.05,90,100,13.29
24.48,53.6,81,90,15.66
61.58,8.35,51,1,6.93
51.12,6.17,97,98,1.07
39.18,55.96,54,1,5.82
23.13,77.85,21,100,23.73
30.83,65.5,88,90,4.7
62.58,34.14,60,75,6.93
12.52,84.2,66,20,26.4
25.21,60.75,62,0,9.4
54.79,26.38,96,100,8.46
40.97,18.14,56,0,1.77
47.67,43.32,93,90,34.45
64.9,9.55,95,0,2.37
21.65,72.84,19,100,25.37
25.7,40.35,91,0,2.55
59.91,31.08,100,75,2.24
14.9,73.71,66,0,12.91
2.27,80.38,78,20,5.82
2.58,96.8,34,20,3.36
9.53,81.97,10,0,6.73
11.99,73.69,82,99,4.54
42.87,35.69,78,37,1.39
47.91,-2.2,70,100,2.71
61.06,32.83,95,90,13.87
30.25,55.63,79,38,6.71
62.14,-1.68,96,43,4.94
31.35,62.44,72,100,12.21
35.13,45.93,93,40,3.36
36.3,45.36,93,75,2.24
58.81,10.4,51,75,9.17
46.68,11.62,69,97,9.75
8.36,68.43,93,87,4.97
42.87,35.69,78,37,1.39
37.34,73.76,31,1,1.61
12.97,71.6,73,40,3.36
1.61,71.8,96,41,4.7
43.17,34.92,77,98,2.19
68.22,-17.37,62,40,8.59
43.32,31.69,85,100,23.35
58.97,35.6,93,61,8.05
30.33,55.38,35,1,10.94
12.18,78.08,88,68,4.32
31.6,39.47,48,75,18.34
10.96,93.2,34,0,17.22
53.0,39.2,27,75,10.29
41.02,45.41,50,67,1.32
13.83,77.5,17,0,6.29
51.38,42.75,100,75,8.05
2.82,93.2,36,40,11.41
45.22,40.82,80,90,6.93
64.5,0.5,70,1,3.36
5.44,82.72,71,36,6.62
48.47,32.0,99,90,9.17
21.28,86.61,56,0,14.16
38.4,50.9,50,0,14.18
69.22,-9.4,57,20,8.05
60.75,-3.96,97,99,7.23
48.77,32.0,92,90,9.17
19.22,80.6,74,20,23.04
18.73,80.6,47,40,11.41
37.15,32.04,57,0,9.84
13.59,77.86,81,36,3.49
57.31,28.98,94,100,15.23
43.41,55.63,71,75,5.82
41.31,47.39,20,69,26.4
38.5,32.0,28,0,5.82
20.52,78.4,7,0,7.09
47.22,39.52,86,100,3.36
32.07,57.27,93,90,8.05
42.24,43.12,30,1,12.75
16.86,86.0,66,5,10.29
7.92,80.6,74,20,9.17
25.53,71.28,19,40,4.7
46.49,10.78,91,100,3.09
48.84,42.01,91,100,11.01
13.98,84.0,5,1,7.0
47.87,7.59,64,0,6.31
43.27,58.62,82,40,14.99
33.19,57.51,100,90,6.22
52.96,40.91,86,90,4.7
18.39,61.66,44,0,12.75
15.85,87.8,74,5,11.41
55.17,-0.8,97,100,1.88
45.17,42.6,86,0,3.36
13.81,77.79,82,100,4.72
49.28,-1.43,98,100,4.41
21.43,75.83,60,16,3.18
48.29,42.01,84,100,3.0
31.76,59.76,74,33,6.29
30.82,63.77,100,90,5.82
25.52,64.74,70,31,3.8
38.09,59.0,67,75,8.05
53.96,33.8,100,90,4.47
33.08,63.37,72,75,4.7
66.04,8.6,71,98,8.05
6.77,77.0,94,20,1.12
14.1,81.32,7,0,8.46
40.6,55.99,81,20,10.29
25.92,73.89,30,5,12.75
11.28,79.81,70,0,16.51
20.7,77.31,65,90,12.75
25.11,59.0,99,100,1.9
29.6,42.8,45,0,2.06
55.28,29.75,97,100,7.07
7.77,91.4,46,20,11.41
19.8,60.82,85,100,9.95
8.25,80.02,48,61,1.88
38.72,24.91,40,0,2.59
69.38,0.57,61,51,3.58
59.64,9.18,47,1,11.41
28.72,72.68,33,5,4.7
34.55,55.63,76,100,9.26
29.27,29.95,79,71,3.62
50.25,32.0,100,90,13.87
19.22,80.6,74,20,23.04
58.69,14.34,96,78,7.34
65.85,10.45,92,0,4.32
34.64,63.97,82,20,5.82
56.34,42.94,93,100,10.36
34.73,57.45,58,75,5.61
